" "
"http://dbpedia.org/page/Category:Drug-related_deaths"
"Clinton Haines"
"Kenneth Halliwell"
"Patrick Hamilton"
"William Hamilton"
"Edward A. Hannegan"
"Jeff Hanneman"
"Tony Hancock"
"James Harden-Hickey"
"Bobby Hatfield"
"Malcolm Hardee"
"Tim Hardin"
"Brynn Hartman"
"Domino Harvey"
"Rodney Harvey"
"Phyllis Haver"
"James Hayden"
"Ira Hayes"
"Paul Hayward"
"Mitch Hedberg"
"Tim Hemensley"
"Margaux Hemingway"
"Jimi Hendrix"
"Curt Hennig"
"James Leo Herlihy"
"Gino Hernandez"
"George Hickenlooper"
"Ureli Hill"
"Virginia Hill"
"Jane Aiken Hodge"
"Abbie Hoffman"
"Billie Holiday"
"Michael Holiday"
"John Curtis Holder, Jr., aka Jackie Curtis"
"Gary Holton"
"James Honeyman-Scott"
"Shannon Hoon"
"Sebastian Horsley"
"Whitney Houston"
"Lisa Howard"
"Howard Hughes"
"Gertrude Hullett"
"Elizabeth Hulette, aka Miss Elizabeth"
"Harold Hunter"
"Michael Hutchence"
"Phyllis Hyman"
"(Name)"
