"http://dbpedia.org/class/yago/TheSimpsons(season19)Episodes";"http://dbpedia.org/class/yago/AmericanFilmDirectors,http://dbpedia.org/class/yago/AmericanAnimators";"http://dbpedia.org/class/yago/AmericanTelevisionWriters,http://dbpedia.org/class/yago/AmericanAnimators"
"http://dbpedia.org/resource/Category:The_Simpsons_(season_19)_episodes";"http://dbpedia.org/resource/Category:American_television_directors,http://dbpedia.org/resource/Category:Animation_directors,http://dbpedia.org/resource/Category:American_animators";"http://dbpedia.org/resource/Category:American_television_writers,http://dbpedia.org/resource/Category:American_animators"
"He Loves to Fly and He D'ohs";"Mark Kirkland";"Joel H. Cohen"
"Homer of Seville";"Michael Polcino";"Carolyn Omine"
"Midnight Towboy";"Matthew Nastuk";"Stephanie Gillis"
"I Don't Wanna Know Why the Caged Bird Sings";"Bob Anderson";"Dana Gould"
"Treehouse of Horror XVIII";"Chuck Sheetz";"Marc Wilmore"
"Little Orphan Millie";"Lance Kramer";"Mick Kelly"
"Husbands and Knives";"Nancy Kruse";"Matt Selman"
"Funeral for a Fiend";"Rob Oliver";"Michael Price"
"Eternal Moonshine of the Simpson Mind";"Chuck Sheetz";"J. Stewart Burns"
"E Pluribus Wiggum";"Michael Polcino";"Michael Price"
"That '90s Show";"Mark Kirkland";"Matt Selman"
"Love, Springfieldian Style";"Raymond S. Persi";"Don Payne"
"The Debarted";"Matthew Nastuk";"Joel H. Cohen"
"Dial 'N' for Nerder";"Bob Anderson";"Carolyn Omine & William Wright"
"Smoke on the Daughter";"Lance Kramer";"Billy Kimball"
"Papa Don't Leech";"Chris Clements";"Reid Harrison"
"Apocalypse Cow";"Nancy Kruse";"Jeff Westbrook"
"Any Given Sundance";"Chuck Sheetz";"Daniel Chun"
"Mona Leaves-a";"Mike B. Anderson & Ralph Sosa";"Joel H. Cohen"
"All About Lisa";"Steven Dean Moore";"John Frink"
"(Title)";"(Directed by)";"(Written by)"
